name,age,city,zipcode,phone,state_code,order_id
Alex Evans,34,Boston,10379,743-452-8672,WA,e8bc6853-4297-4dc5-bf39-714c3db34edc
Chris Baker,52,Denver,10785,692-522-9836,CO,b67a78f5-6bd7-41ef-a707-634e825a16fd
Jane Baker,59,Boston,78752,975-570-6833,WA,f25ee3bd-effd-4740-862d-88efc3a294d6
Emily Baker,65,Austin,77771,753-913-8344,CO,4af747d0-acd5-40ba-8602-41373c667b2f
John Evans,36,Denver,47389,693-748-6663,TX,bf2b8921-b665-4297-9e97-291220a0acb4
Chris Adams,30,Austin,11382,692-550-8296,GA,13815f3e-5d40-4f34-b92f-5911681fe94f
John Foster,19,Denver,88246,753-410-6265,WA,15d2cd52-be1d-44a4-bfeb-f95bfdbe798c
Emily Clark,30,Seattle,56092,726-991-3095,TX,1fe2990e-1d2d-44e3-89c4-625c3bc02bcb
Chris Foster,60,Denver,92481,889-251-5800,WA,24bb90ac-a915-4f11-804c-d8a069a21e44
Chris Evans,18,Atlanta,30389,344-585-6085,CO,0a670b2e-6f26-42d2-bb8d-2a1c6cf7bdf9
Jane Evans,52,Denver,84623,509-868-6964,GA,1b7379d1-b6e7-4e29-96c4-4489c09bbe6e
Jane Clark,51,Denver,74601,621-320-2800,CO,d1804b73-f94f-44c6-9375-bb7379a0e77b
Chris Baker,32,Austin,29627,279-727-5242,WA,bf2253e6-e841-426f-850d-c18662eb3c69
Chris Clark,60,Seattle,72033,348-409-4515,GA,5acc8a5e-6924-478d-a950-8500be9678af
Emily Evans,49,Austin,42199,266-375-7558,CO,2563d978-2ca7-4a9d-866e-9c12869f2a2b
Jane Adams,21,Denver,84415,597-206-9099,GA,576ad1a6-d624-4b1a-a808-10561db9979b
John Foster,39,Austin,17805,955-229-6103,WA,3162bbcf-ff55-46b0-b9a0-69c271da368f
Jane Adams,37,Atlanta,15552,700-447-5006,MA,fb30cc97-32e0-4440-bf2a-db919228ce06
John Adams,28,Boston,66188,232-221-9817,TX,9022bdec-c541-4db5-bdba-4f5d8d23d430
Emily Foster,51,Austin,70150,642-722-7115,WA,8b620e97-feba-4bbd-80a2-0bcfc2486ae9
Jane Clark,31,Seattle,45050,468-336-2791,GA,8a9cab7e-0e5d-4bb7-8a91-6706d6043606
Chris Baker,66,Boston,74499,653-742-7876,WA,42053709-9d8b-4d75-bcc7-2a297e7e6617
John Adams,41,Austin,21987,210-447-9514,GA,3ca3cea5-efc5-4a1c-ae8f-bd72227208a5
John Adams,53,Atlanta,94856,594-880-2854,MA,f46fb876-f835-4065-9503-6374ff722d6e
Emily Evans,58,Austin,68283,809-249-3418,MA,92136dbb-aed7-41ee-a5f4-72c0f0393113
Jane Baker,40,Austin,18085,790-367-8068,TX,a21bb31c-133e-485f-8093-304a033c2a65
John Foster,56,Seattle,82655,705-656-1882,TX,e405d21a-b9ec-4a7b-88e9-19e0bccca307
Chris Baker,48,Atlanta,42035,777-958-9275,MA,e0936bf1-0220-4f2e-af20-e026fd518e3a
Emily Evans,45,Boston,57217,332-258-3913,MA,15cadb9b-045b-4f48-a865-5699946b20f9
Jane Clark,32,Atlanta,97600,595-316-5012,GA,d89d9374-8be2-49d3-92d7-ac06b901e6e9
Emily Baker,40,Denver,97459,889-444-8243,GA,1c88e524-2aef-447b-8460-46f3486a2922
John Evans,51,Seattle,63928,428-539-2306,GA,9dc7c7d6-c17a-4245-ac68-bce93bec30b1
Jane Adams,42,Atlanta,50371,409-563-8185,WA,29aeb415-c6ea-42fa-bb41-76407f87a19f
Emily Foster,54,Denver,54558,621-869-7342,TX,7ea87fe4-0f18-426b-a104-827ee8d5fc2c
Alex Baker,56,Seattle,93791,779-672-7397,GA,d51917b6-7af5-4ff1-ba2a-aa785f02f6d4
Emily Baker,48,Atlanta,23330,479-256-7890,CO,846ad73d-3286-4c46-8800-f4efa9296087
Jane Baker,53,Seattle,43298,464-603-9383,CO,bd965669-64a0-4d35-bbe1-588e7999eb4e
Alex Clark,43,Boston,96479,758-771-6859,GA,427a334b-ac3f-4749-95de-5e55b3e4f366
John Baker,66,Atlanta,40566,885-768-6432,GA,4afb66af-0c84-4813-8d90-aa39f1869f41
Alex Evans,56,Seattle,59683,324-557-3352,GA,c1054450-c768-40f4-8816-ce5da27f0f0f
Alex Foster,23,Denver,63447,899-751-7210,WA,c7707499-8b89-4201-8f8a-5a48ee3e7a08
Emily Evans,67,Atlanta,54795,293-818-4829,MA,75e28f2b-806c-403e-a4d7-e4f48fc2e54f
Emily Evans,37,Denver,72682,494-525-3855,WA,a0e21a18-5c22-450a-b232-a5d4adf45b1a
Chris Clark,58,Atlanta,56087,953-866-6975,GA,d61ed041-3f3f-48c6-8f4b-11cf2a6742a0
Emily Baker,67,Denver,40246,485-373-1557,TX,a0d43436-e5b3-438c-958c-36beccb5f634
Emily Baker,18,Boston,20715,613-863-3327,CO,757ef777-d7f1-4fff-834f-d0f6a00f30ee
Emily Baker,34,Denver,96969,670-666-7585,WA,64dbe22c-2efa-4a29-86e7-3bfd09f762ea
Chris Baker,47,Austin,37632,735-371-9913,CO,0c550387-0682-443d-ac2c-9a2c9241eb9a
Jane Foster,25,Atlanta,20830,462-775-4061,GA,e983ff1a-7ad3-403d-b31b-48b3cfe71319
John Baker,33,Atlanta,45215,554-487-6112,TX,eb5fa37b-612f-4bee-a07e-947acdb5cf2b
Alex Evans,34,Boston,72462,426-975-2858,CO,bfc85d28-f98c-42d9-904d-3f1f9ec38129
Jane Adams,52,Boston,10893,739-506-6609,CO,9426477d-fb37-4577-8ee9-3e71201ed6d4
Chris Foster,45,Seattle,25147,286-421-9886,TX,78714425-b6c6-48da-8ee5-2a922f731d3a
Jane Adams,27,Austin,39966,557-797-9650,TX,f21beb07-608e-4117-9c73-83f9e576f8f6
Emily Clark,23,Seattle,51180,751-926-8395,CO,770851fa-7610-4b87-ac54-24eeed9d1d05
Alex Baker,28,Denver,12470,644-814-2599,MA,f73608c7-090d-4bd8-8bef-9219556a9f5a
Alex Adams,48,Seattle,38198,973-970-5788,CO,0d1cba27-b548-47a3-8feb-d0b2cdced274
Emily Evans,42,Boston,80414,802-226-7254,WA,6ab27b76-a98a-46a3-a9da-c5faaed81e7f
John Evans,31,Austin,60562,798-272-6100,TX,50eff87e-0230-43a9-9d7c-a8c169076371
Alex Evans,34,Boston,96934,284-217-6640,GA,a634883c-9b33-4abc-a707-4b79fb9351f2
Emily Clark,30,Boston,69713,675-365-9578,MA,5df10aca-2d55-4596-840f-18113cb76c55
John Clark,57,Boston,29954,277-357-5666,CO,849e0e6a-e3a0-40fd-8616-ca515381ae54
Alex Baker,48,Boston,54618,587-447-2303,GA,5b591e36-5a50-406b-8151-f658a4a8dbe8
Alex Baker,56,Boston,70157,599-590-4120,WA,2722418f-22d1-43ec-a7ed-831618973c38
John Baker,48,Atlanta,52053,523-452-7565,TX,eafeefc0-d789-46b6-90d7-c67c619468d5
Emily Evans,66,Seattle,25668,320-615-8941,WA,a47a14a0-dd93-4946-9196-ddc35bbd7b0e
Alex Baker,25,Boston,10190,494-378-7211,MA,0f6790eb-cb62-489e-920c-8065d77e7e01
Alex Evans,20,Austin,34577,805-305-4897,CO,8211a073-84a9-4ab6-8bc3-eb570020734e
Alex Adams,21,Denver,75271,533-968-5366,MA,fffad7b8-95cc-47ec-aee6-51c5eb722d1a
Emily Foster,32,Austin,77474,341-857-6744,GA,2a830d0c-e21f-4cb2-bc45-5538d6f80b0a
Alex Baker,62,Boston,83171,576-508-6642,GA,ae0c1694-ed5e-432d-847c-45c099cdab70
Alex Baker,65,Austin,98198,249-734-4644,GA,1ba4473a-9a7d-4863-8507-bd02080b3aeb
Jane Clark,29,Denver,54899,336-988-7440,GA,d0bd4726-60de-41f4-a39b-09fa0409d2ff
Chris Evans,39,Seattle,53997,940-602-6922,CO,681a1d5d-59b2-4e19-9144-2292c1ab1c82
Jane Clark,64,Atlanta,58806,374-693-2920,MA,bf29079c-30fc-4462-8949-8ecc80793289
John Clark,38,Denver,62387,984-448-3598,GA,1c3c32f1-283a-4e0d-ab0a-e6197f65097f
Alex Adams,53,Seattle,93874,692-958-2363,WA,5bfc0395-a30e-4147-af0e-26bb0d239628
Emily Clark,43,Boston,91280,785-483-9891,TX,71bb3c7f-17e8-4e48-8cb0-acfae7e36cdb
John Foster,63,Atlanta,80767,964-935-2980,WA,a89716e5-c6ca-4697-96b4-bc67f47d61a1
Chris Baker,32,Atlanta,73475,563-297-6420,TX,19b9a58f-f96b-4eac-9c12-1418fa07765a
