name,age,state_code,city,zipcode,phone,order_id
gCm,88,AZ,Mesa,85201,3298885063,285b618f-3a10-4ed1-8c66-3adf43a84a3b
IxK,76,NC,Austn,58696,2285830882,2459cb90-364d-40eb-8766-af22155caa20
bjx,49,FL,Miami,33101,1150043681,4d8dc7dd-a0b8-4c50-a24c-516493d53e43
PYS,79,NC,Austn,58696,1401460783,e371bf2a-6936-4cd9-9137-53bd174b33b6
KSO,73,PA,Erie,16501,1238051559,2f1eae47-58e4-42bc-8814-7d747ab37cb4
nmt,45,FL,Miami,33101,7464956572,3482061d-74cb-46ef-a2a1-013ef8af77a9
GmC,42,PA,Erie,16501,4797350942,42237ba0-6c3d-43b5-b30e-92b3aa03bcf7
XAr,28,IL,Austn,58696,4096266631,2c569009-cad6-4715-9b7d-7a516c376564
uHG,60,GA,Macon,31201,2023954360,2975ef92-5261-4eee-b561-82529a9561e1
uNP,63,AZ,Mesa,85201,7629279072,c73e4ccd-1d48-4bb5-8265-c0c6ff31aa0d
bzr,95,TX,Austn,58696,2349624428,50fa55c3-fdf6-4214-a4b8-d66733931611
TtK,20,OH,Akron,44301,7974298713,f04bde71-96a8-432e-9f4d-bbe68b0c57fc
pKp,77,OH,Akron,44301,5800076522,929d58c8-85ad-44a4-a986-f62f70cf2008
DqN,23,AZ,Mesa,85201,8372542163,e9ead349-88ce-4b45-8408-a2859a646027
jyh,13,FL,Miami,33101,5709661881,a0f634c8-0b81-4916-9c6e-37bb39afc150
KWd,57,NY,Austn,58696,7053297142,b8acd856-12b9-496b-b357-926d348279be
roG,70,AZ,Mesa,85201,9724578718,f7c21c62-bac1-45a5-bcbf-c374639435c8
xzp,70,GA,Macon,31201,8003263102,f0cbd775-1819-4f19-8bb5-10d101848e40
keU,65,PA,Erie,16501,1365136083,8855d4f2-a365-4fc5-828e-9b37a80fa4c0
hUw,47,AZ,Mesa,85201,3718060872,da51de79-9a17-46f8-b543-dcae2ea65c54
FbT,53,NC,Austn,58696,9040004660,753fee73-5dd5-489f-8ab6-47de704cd87d
soc,45,GA,Macon,31201,2176890787,5ea57076-5271-421a-9da9-f462ee313378
sAY,95,FL,Miami,33101,1479919852,563d32a0-11aa-4004-9cf9-4b144fe5141f
RiK,28,PA,Erie,16501,2276795270,049ff23d-7bca-4498-8b23-4f0c3c8fd3d3
Sih,93,TX,Austn,58696,3089739686,9a90ea16-03ac-451e-bfd4-b45b6589e56a
MhZ,36,TX,Austn,58696,8727915147,07f021f3-a840-4906-8182-07c9cbe6b986
fXj,19,NY,Austn,58696,4872974320,98464a26-a564-4e1a-b8d8-74e606d9819d
ICi,68,IL,Austn,58696,2720994890,75863989-09e3-48cf-a920-6e4de4323d0a
QHW,33,TX,Austn,58696,7674449919,cc68bd74-a6d3-4678-82c5-54f7b64d1592
