state_code,County,order_date,phone,order_id,name
CA,Cuyahoga,2020-05-04 12:16:23,640-836-9328,c244cf7d-8f30-42c7-9804-202aa539f4a6,Jessie Foster
TX,San Diego,2023-08-18 04:57:43,834-793-4853,1ba27868-74cd-45d0-964b-4bf8a8be3c06,John Foster
TX,Harris,2023-12-28 18:08:21,678-493-1468,06ec9135-36f0-40f2-8346-0aa695d5db13,Chris Clark
NY,Cook,2021-09-07 19:06:36,300-201-4835,0d2f986e-cdcb-4e89-b180-1194356eb2ed,Emily King
CA,Los Angeles,2020-06-19 04:24:18,996-524-7605,e145902c-b6b6-45a1-805d-93323b396f3c,Jane Gomez
CO,King,2024-05-05 01:25:50,943-654-2784,277273ef-7bfc-4e95-a5f7-cfe41b9e26bb,Alex Clark
TX,San Bernardino,2021-01-08 02:24:49,441-646-6427,05cf47d7-ad55-46d8-8bcc-2b371888a7bc,Jordan Evans
GA,Dallas,2023-10-30 07:42:49,256-333-9278,2016809f-8413-4a52-bca8-3fb57a9a3a6d,Chris Evans
MA,Harris,2022-05-19 21:03:53,266-346-2761,4bcf366f-2098-4eb2-ac11-f230c56d123b,Jane Adams
FL,Cuyahoga,2023-02-25 21:51:06,815-878-5430,030a8eb5-dc86-4e34-a023-2d87c603a3ba,Taylor Foster
CO,Maricopa,2023-11-15 04:08:58,956-901-6137,fbac1a4d-1e62-443c-9cda-b6b85b48aa4d,Chris Gomez
FL,King,2024-11-13 13:31:35,420-850-4125,6020c032-41d7-442c-b43f-8ce284c0169a,John Baker
GA,Cuyahoga,2023-03-10 03:02:39,431-972-6080,9a356c11-7fdc-4439-91ba-f963542834ca,John Gomez
GA,King,2020-07-29 15:51:17,471-841-1454,dce171e7-089f-456c-b5a7-b9c38f61f904,Cameron Clark
MA,Maricopa,2021-04-02 07:47:48,253-246-7885,7fcc041c-6245-48a2-8396-ce082930068d,Jordan Clark
WA,Maricopa,2020-05-14 00:04:43,371-747-4532,7ab3d5c8-3890-4256-a391-312a401730ac,Chris Foster
TX,Harris,2020-11-21 23:52:38,321-770-4337,4fe6e51f-f756-43f7-a897-2a5beab535e4,Alex Gomez
GA,Maricopa,2022-01-13 01:31:00,523-966-1726,6e02b191-b9df-4bac-b1f4-5f8701dc98d9,John Baker
NY,San Diego,2020-07-12 07:19:32,686-632-4530,1943a1ff-59dc-4079-a8cc-3d35c65299d3,Emily King
NV,Cook,2023-11-23 00:44:33,695-669-4391,e7cf28c5-f95b-4edc-a320-a14cd2eddb81,Jessie Clark
OR,Maricopa,2023-03-22 04:01:56,210-693-6963,8eb2e85f-7606-4583-be03-dcdfc06c4db8,Alex Baker
FL,Los Angeles,2023-04-20 13:40:35,973-890-7193,d5d3b21d-d686-4ddb-9902-bb54f34e496b,Emily King
WA,San Diego,2024-05-16 12:09:24,843-738-4326,104b5802-b952-482d-a2c8-a675f9d5fbb4,Taylor Hughes
CO,Cook,2022-02-21 08:38:09,773-505-2273,1e8bc004-105c-4909-8526-91ae9281eaee,Chris King
CO,Los Angeles,2021-07-13 15:39:49,863-235-8109,30e92ce5-9e0b-4d6c-90dd-5991c7589efe,Morgan Evans
GA,San Diego,2021-10-10 00:15:37,719-865-2593,e9f2d566-3c64-45d7-a4eb-70be9110c285,Jane Foster
WA,Los Angeles,2022-01-25 05:24:23,233-870-9687,2c4e7342-b27d-4270-ac40-06dc84b1e5fb,Jordan Evans
MA,Los Angeles,2021-11-04 00:31:58,226-846-1924,5ca15ec5-1ed4-430d-851a-e915221e44ae,Taylor Clark
GA,Cook,2020-12-10 01:03:52,700-969-4355,a46910b8-47f6-443c-8227-03c5139779ad,Cameron Johnson
NY,Dallas,2024-12-24 05:20:34,476-527-5255,5a68fe87-8b50-49aa-ba8d-849b6787992f,Alex Ibarra
CA,Dallas,2022-03-15 08:40:28,498-516-1758,07334b2f-d8e3-4b7a-b8fb-c9bd0ea5e61d,Cameron Ibarra
MA,San Diego,2022-06-26 04:36:48,333-560-2921,cd83142e-9719-4b50-a59e-5b752475a6b3,Taylor Adams
OR,Maricopa,2024-05-09 02:27:56,454-497-7664,aeb42993-bdce-4771-a407-7b05d5b272de,Jessie King
NY,Miami-Dade,2024-11-08 04:48:48,425-490-3084,2fba9a55-f962-4a64-9f8b-bb95c1065a3a,Jessie King
NY,Cook,2020-06-08 09:00:44,285-404-6720,d1eaff73-63b6-4947-beb9-12d48b923ccf,Morgan Johnson
FL,Harris,2023-11-29 02:12:25,715-668-7332,dea5f323-458b-480b-b069-68c1d0ca721e,Cameron Baker
CA,Los Angeles,2020-12-16 20:07:17,491-700-3056,f645fe54-2c19-4d8f-be4b-cece88728fad,Jessie Baker
MA,San Bernardino,2020-05-20 20:12:36,731-515-6103,c865011a-3bf6-4eeb-ad6e-d4a90bc89b19,Alex Hughes
WA,Dallas,2021-08-13 20:56:35,887-271-6012,89006bd5-6b50-4b25-a664-2c1f6b6b1286,Emily King
MA,Cook,2023-09-17 18:03:29,814-924-2531,b1044841-00f6-42c9-b3b5-5d28a0e204e3,Chris Foster
CA,Los Angeles,2020-10-01 08:58:20,949-906-6554,3d9e4688-b1f5-4050-83a6-f3638c97b03e,Jane King
MA,Miami-Dade,2021-06-13 22:36:48,291-332-5158,df1dc186-438b-41c9-a93f-6f24746142f9,Cameron Baker
CA,Cuyahoga,2020-05-29 19:03:32,299-782-5383,7dadcf5f-ba40-4206-b545-b1643110c7c9,Alex Adams
OR,San Diego,2020-03-17 16:42:30,426-623-3506,d050cab3-5404-46cc-b466-777c955a3499,Chris Ibarra
FL,King,2022-04-26 11:21:04,668-613-5509,76aba546-878a-40f6-8350-d0c9c138c3de,Jordan Baker
MA,San Diego,2024-11-01 00:42:46,784-401-5339,e10e3228-1c79-4e12-b6db-1ce3f86ed810,Emily Foster
MA,San Diego,2024-10-19 13:23:09,641-810-4943,4b5bc886-8437-429a-afd5-8ca9af3db855,Cameron Johnson
GA,Miami-Dade,2022-09-10 22:30:01,909-413-6941,bf0b0a6b-fc63-42b9-a3aa-be5eac19185a,Jessie King
NY,San Bernardino,2024-01-11 20:26:16,675-811-2261,b92662f4-87c5-4ff2-bf4c-56c7c086072d,Jordan Baker
MA,San Bernardino,2024-12-31 20:03:14,261-440-8702,da515bc0-3f3a-4ef8-9a35-1cf29a63e658,Cameron Johnson
MA,Harris,2022-10-08 20:27:56,204-823-9005,87f760bf-4db5-459a-ba29-d1aa1df0bcea,Jordan Johnson
NY,Cook,2022-01-05 09:38:29,368-643-6869,0eacde10-27ec-4f60-9b40-f4c482c60221,Alex Baker
